Id_Externo__c,Lote_M2__c,Valor_Total__c,Cuota_Entrada__c,Ubicacion__c,Asesor_Comercial__c,Cuenta__r.Id_Externo__c,Grupo_de_Venta__c,Nombre_del_Proyecto__c,Pagos_Vencidos__c,Modelo_Casa__c,Plantas__c,Categoria_Producto__c,Estado_Contrato__c
d6cd512f-20ca-4fa2-bfbd-64810beb7477,81,204526,30678.9,Quito,Maria Carmen,ff31b4d5-7b34-43e5-813d-a8f742bf58db,Equipo 1,Playa Arenas,1,Notte,3,DEPARTAMENTO,ACTIVO
02b09b27-7ddb-4ba0-8b7f-355e7d0c782b,153,58006,4060.42,Guayaquil,Maria Carmen,0cd8f04d-77fe-4724-9a2d-e3fd6de05517,Equipo 3,Playa Arenas,2,Ventto,1,VILLA,ACTIVO
dd7701d4-ea8a-4fb2-9be9-3e4e1b65a700,66,99053,4952.65,Santo Domingo,Carlos,aad63555-95c2-4397-a153-1ea240940866,Equipo 1,Playa Arenas,4,Ventto,1,VILLA,ACTIVO
ddda44d3-20e3-4872-a086-dbf7597b3d22,77,77312,6958.08,Cuenca,Maria Fernanda,60b447d4-3682-42ad-8b6c-22189cd71084,Equipo 2,Ciudad Celeste,1,Spiaggia,2,DEPARTAMENTO,ACTIVO
b24a843e-9057-4dd0-9efa-311eb75abed1,89,242894,21860.46,Guayaquil,Maria Fernanda,72d34ca2-344f-4849-9b44-f00f14aebeb9,Equipo 2,Playa Arenas,5,Spiaggia,2,DEPARTAMENTO,ACTIVO
54daa5f9-8be7-43be-8250-c736babab010,56,220122,11006.1,Guayaquil,Carlos,48a15bd8-3d4e-47c4-8756-58dbd31e3945,Equipo 2,Parque Azul,4,Marinella,3,DEPARTAMENTO,ACTIVO
15f54b43-1c61-48b8-adae-13e683084faa,46,9179,734.32,Quito,Maria Fernanda,5249ae59-a6d3-431a-bf94-8d508d424483,Equipo 2,Ciudad Celeste,5,Spiaggia,3,DEPARTAMENTO,ACTIVO
60a65d56-3cf4-427f-9752-a535b78247fa,128,44433,2221.65,Naranjito,Miguel Angel,04d8e951-aca4-4f41-b385-a48849f5bed8,Equipo 1,Parque Azul,2,Notte,1,VILLA,ACTIVO
4d5116e8-28ea-4f91-b35e-d7ef58e55114,161,121902,9752.16,Quito,Juan Carlos,38638c0f-e003-4d8f-a001-cd76f650d8d0,Equipo 3,Playa Arenas,4,Notte,1,VILLA,ACTIVO
e6402c83-f7c5-4243-b135-9e1b17a04c11,114,120922,16929.08,Quito,Miguel Angel,15bc629d-8b8a-4aeb-a327-2ab90a3682f9,Equipo 3,Ciudad Celeste,1,Acqua,2,DEPARTAMENTO,ACTIVO
2995fd8e-febd-4454-9f7d-5653e568825b,139,246088,36913.2,Santo Domingo,Maria Fernanda,0c8eb9e2-eeb7-494a-9ce9-112ecc4fb0cb,Equipo 2,Ciudad Celeste,1,Marinella,2,VILLA,ACTIVO
9f7e1995-a7cc-498a-8efb-bc3a09851561,170,198234,23788.08,Guayaquil,Miguel Angel,72b747b2-0074-4310-93f0-d6630ac1ec8f,Equipo 3,Playa Arenas,0,Notte,3,VILLA,ACTIVO
f8d49acf-19f5-4ed4-9a8c-b68c35a9dfa3,118,172906,17290.6,Guayaquil,Juan Carlos,77be6d9a-76ab-4888-b44e-4e01d1fdcb26,Equipo 2,Ciudad Celeste,4,Spiaggia,3,DEPARTAMENTO,ACTIVO
f9fd1dbd-40fe-41ee-98cc-34e092441a13,182,122615,8583.05,Quito,Carlos,849577cf-bf97-4209-af88-65f46f76bae2,Equipo 3,Parque Azul,2,Acqua,2,VILLA,ACTIVO
967a913f-5f19-46b6-b682-4ccb9486c440,199,41233,4947.96,Machala,Maria Carmen,3ab6f018-45bc-4efd-8b99-cf65087b32a1,Equipo 1,Parque Azul,5,Notte,2,VILLA,ACTIVO
9945e846-c5a3-418b-b5cf-49497d8fade5,169,239580,35937,Guayaquil,Maria Carmen,5a0f94d0-393b-4c6d-8d6f-a224521f95a2,Equipo 3,Parque Azul,1,Ventto,2,VILLA,ACTIVO
ac8c86db-aaa6-4de2-bfa8-f869e3c80ce4,147,132828,15939.36,Quito,Maria Carmen,6f480e84-1561-4c8c-97ce-3cdce65db883,Equipo 1,Playa Arenas,5,Marinella,2,VILLA,ACTIVO
e09b286e-a551-4a0f-ad1f-50f355e40072,90,21856,1311.36,Guayaquil,Carlos,f3e3ca7b-99b4-4632-98b4-ab8c0c2e99d6,Equipo 3,Ciudad Celeste,3,Spiaggia,1,VILLA,ACTIVO
e9136223-0675-4fa2-96cd-49810acf7460,115,241012,33741.68,Cuenca,Maria Carmen,10b2981e-25d0-428b-8f0c-f834afa3b66f,Equipo 2,Parque Azul,5,Acqua,1,VILLA,ACTIVO
9af294de-2cb8-423c-b940-0f444a400a42,175,41002,4510.22,Machala,Carlos,fc14de03-f7f7-4768-9d3f-ecc64c76b63f,Equipo 2,Playa Arenas,2,Isola,3,DEPARTAMENTO,ACTIVO
ff79054d-6a5f-44b3-a755-d9f53aa19dde,189,93453,13083.42,Naranjito,Maria Fernanda,84971770-4c6f-4172-94cd-bb2a5a13e6b8,Equipo 3,Ciudad Celeste,1,Spiaggia,2,VILLA,ACTIVO
320329a2-b57b-4255-8bef-1a84329967ca,60,115258,14983.54,Cuenca,Maria Carmen,c775650c-eb19-4029-bcc8-d99c418842ce,Equipo 1,Playa Arenas,4,Spiaggia,2,DEPARTAMENTO,ACTIVO
895fbb66-366d-46e1-9be1-4edf0eecb882,58,47260,2363,Quito,Maria Jose,dac01e2d-68f4-4cf7-b3f0-9a81f8b864a8,Equipo 2,Playa Arenas,1,Ventto,3,VILLA,ACTIVO
0c682fe4-4af9-4711-880d-45dc7dc4cdfe,144,48999,2939.94,Guayaquil,Carlos,d45b8e22-7d31-4b5c-b71f-33606a76a566,Equipo 3,Playa Arenas,5,Ventto,1,VILLA,ACTIVO
9180a509-2c89-4896-8166-74cee9361714,78,62324,8102.12,Naranjito,Maria Carmen,5bdf475b-1668-486f-b910-aaacf5f5efa2,Equipo 3,Parque Azul,1,Notte,2,DEPARTAMENTO,ACTIVO
35841f21-c601-4548-ba50-27a90d8baf3a,125,173911,10434.66,Machala,Miguel Angel,a6d4da27-35fa-4fda-93cd-65fee131c7cb,Equipo 1,Parque Azul,0,Ventto,1,DEPARTAMENTO,ACTIVO
4ad845a3-ff12-44bc-bdfc-99fce71b84f6,197,77016,4620.96,Cuenca,Carlos,3ba408d6-f994-46a2-a576-c79f5d4cfb2e,Equipo 1,Parque Azul,0,Acqua,1,DEPARTAMENTO,ACTIVO
e4a6ba8e-8259-4cf3-9227-bbf228ddc91a,44,178153,21378.36,Guayaquil,Juan Carlos,9a50b6cd-9d85-48f4-95f0-40e20206bbbb,Equipo 3,Playa Arenas,3,Marinella,2,DEPARTAMENTO,ACTIVO
33aed8ad-140c-4b4e-9c85-03fc4f7a575f,163,248795,12439.75,Quito,Miguel Angel,be8b708f-1233-424e-a9e9-cc9a0db0d2db,Equipo 1,Ciudad Celeste,3,Isola,2,VILLA,ACTIVO
07df771b-1cfa-4520-a298-2d432b54a7a1,166,243037,34025.18,Guayaquil,Maria Jose,0cf90ce8-5374-4a7d-856d-a2185071e45a,Equipo 2,Ciudad Celeste,2,Marinella,2,DEPARTAMENTO,ACTIVO
845ddb9c-abc7-4ec4-980d-7821f4e146f2,82,246390,29566.8,Santo Domingo,Maria Fernanda,12311ab5-5f3f-4d7c-bd35-e1b2997a1414,Equipo 1,Parque Azul,5,Isola,1,DEPARTAMENTO,ACTIVO
06049bee-cf60-4363-b02d-335f2953645b,178,246984,17288.88,Santo Domingo,Carlos,cd43c5f7-ef3c-4e32-87b6-14f05d5145de,Equipo 3,Playa Arenas,4,Acqua,2,VILLA,ACTIVO
