Id_Externo__c,Lote_M2__c,Valor_Total__c,Cuota_Entrada__c,Ubicacion__c,Asesor_Comercial__c,Cuenta__r.Id_Externo__c,Grupo_de_Venta__c,Nombre_del_Proyecto__c,Pagos_Vencidos__c,Modelo_Casa__c,Plantas__c,Estado_Contrato__c,Categoria_Producto__c
1,87,96623,6763.61,Santo Domingo,Maria Jose,b50c4467-fdcf-46ec-be88-0108dccba8a9,Equipo 2,Ciudad Celeste,1,Acqua,3,PAGO,DEPARTAMENTO
2,51,130504,9135.28,Cuenca,Miguel Angel,592fb627-6886-42cd-baf3-e74a004f9e1b,Equipo 3,Parque Azul,2,Isola,3,RESCILIADO,VILLA
3,160,86826,13023.9,Quito,Maria Fernanda,349fe9cc-5897-475e-8ea0-af595639dcb2,Equipo 3,Parque Azul,3,Ventto,2,PAGO,DEPARTAMENTO
4,56,21331,2346.41,Cuenca,Maria Fernanda,df2eb3b0-1227-47f9-bbfa-3786a9dbf07f,Equipo 2,Parque Azul,0,Acqua,3,PAGO,DEPARTAMENTO
5,87,218421,13105.26,Machala,Maria Fernanda,c787a2e0-7aa1-4067-886a-62bdb5f1ce88,Equipo 2,Ciudad Celeste,3,Ventto,2,PAGO,VILLA
6,182,121722,17041.08,Naranjito,Miguel Angel,d9a1e455-dc02-405f-aa1e-b771a30bd08c,Equipo 1,Parque Azul,5,Isola,2,RESCILIADO,DEPARTAMENTO
7,180,120996,8469.72,Guayaquil,Maria Fernanda,4239cc28-4756-4054-8bd8-34ecde6613f4,Equipo 1,Parque Azul,0,Marinella,2,PAGO,DEPARTAMENTO
8,144,122400,9792,Cuenca,Juan Carlos,4bfdc122-15ff-4aef-92ca-393d886616cb,Equipo 2,Ciudad Celeste,1,Acqua,1,PAGO,DEPARTAMENTO
9,145,103121,15468.15,Santo Domingo,Maria Fernanda,9ab5ab46-d802-4f25-a16c-e36fbebbe2e3,Equipo 2,Parque Azul,2,Spiaggia,2,PAGO,DEPARTAMENTO
10,132,23084,2770.08,Guayaquil,Miguel Angel,74883ba0-785e-4dd6-a21d-ebaa516b4664,Equipo 1,Playa Arenas,2,Acqua,2,PAGO,DEPARTAMENTO
11,161,127324,17825.36,Santo Domingo,Maria Fernanda,51b0d918-f3df-4897-a237-6f8c492b069d,Equipo 1,Parque Azul,2,Notte,2,PAGO,VILLA
12,39,207902,14553.14,Quito,Juan Carlos,d7499f50-021d-4ba8-99b9-c01f777b6e0e,Equipo 1,Playa Arenas,0,Spiaggia,3,PAGO,DEPARTAMENTO
13,90,147390,11791.2,Quito,Maria Carmen,09945a88-1a05-4438-a579-c1be9c08b27d,Equipo 1,Ciudad Celeste,3,Spiaggia,1,PAGO,VILLA
14,98,163474,17982.14,Cuenca,Maria Jose,a6aa32cf-2095-473e-b019-554929f85c91,Equipo 1,Playa Arenas,2,Isola,1,PAGO,VILLA
15,153,205416,16433.28,Naranjito,Maria Fernanda,6e060428-2017-45ad-9ae9-85ca1cd17b5a,Equipo 2,Ciudad Celeste,4,Spiaggia,2,RESCILIADO,DEPARTAMENTO
16,119,23284,2095.56,Machala,Carlos,fc917c50-d952-4a15-96c6-9be1fabb0eef,Equipo 3,Parque Azul,4,Notte,1,PAGO,VILLA
17,106,206596,24791.52,Cuenca,Maria Fernanda,ca77eec3-5d62-4b9c-9afb-67328bce5077,Equipo 2,Parque Azul,3,Isola,2,PAGO,DEPARTAMENTO
18,147,193062,25098.06,Quito,Maria Jose,70226d52-cefa-49a4-a5d3-fbff7be23881,Equipo 2,Ciudad Celeste,1,Notte,1,RESCILIADO,VILLA
19,192,13543,1760.59,Cuenca,Maria Jose,33f89ee2-0cc7-4900-a160-b4b784dd0772,Equipo 1,Ciudad Celeste,3,Spiaggia,2,PAGO,VILLA
20,177,176568,10594.08,Cuenca,Miguel Angel,ed592729-5225-457c-8e00-e0c215953da3,Equipo 1,Ciudad Celeste,5,Isola,1,PAGO,DEPARTAMENTO
21,69,121476,17006.64,Naranjito,Juan Carlos,78ec21aa-c3b9-4267-8ffc-a626abf2d78b,Equipo 2,Parque Azul,5,Notte,3,RESCILIADO,DEPARTAMENTO
22,107,77032,6162.56,Santo Domingo,Maria Fernanda,c3b2a38e-cad9-4ff1-850c-81f2be8d27c1,Equipo 2,Parque Azul,1,Ventto,3,RESCILIADO,VILLA
23,114,130341,9123.87,Naranjito,Carlos,206af937-4d0d-45b9-a795-092707932055,Equipo 2,Playa Arenas,1,Notte,2,PAGO,VILLA
24,56,66772,4006.32,Santo Domingo,Maria Carmen,343899dc-30de-4e81-ab81-20650a9e3888,Equipo 3,Parque Azul,4,Spiaggia,1,RESCILIADO,VILLA
25,181,130393,7823.58,Machala,Maria Carmen,2b3b2780-7718-4504-bc0d-8c659ca88c64,Equipo 3,Ciudad Celeste,0,Spiaggia,2,PAGO,DEPARTAMENTO
26,76,177465,14197.2,Cuenca,Juan Carlos,acebaac6-e104-4eb8-8790-292b53b6a654,Equipo 3,Ciudad Celeste,0,Ventto,2,PAGO,VILLA
27,100,103825,6229.5,Cuenca,Maria Fernanda,dcfaff6a-6e57-483d-a401-68531018fb5e,Equipo 3,Playa Arenas,1,Notte,3,PAGO,DEPARTAMENTO
28,44,79179,7917.9,Naranjito,Carlos,d480dd0c-1069-499d-a2cc-9f7ec2df0cc3,Equipo 2,Playa Arenas,3,Notte,1,PAGO,DEPARTAMENTO
29,172,33985,3398.5,Naranjito,Maria Jose,2227f731-23ae-4805-86c1-1d860d5ff0be,Equipo 3,Ciudad Celeste,2,Notte,3,PAGO,VILLA
30,182,35253,2820.24,Santo Domingo,Juan Carlos,b944189a-882d-46a9-8d7d-c25de94ce07d,Equipo 3,Playa Arenas,5,Isola,3,PAGO,DEPARTAMENTO
31,51,243132,14587.92,Cuenca,Maria Fernanda,26e902ec-84f0-4afe-a2a3-a0387c5a7f15,Equipo 3,Parque Azul,2,Spiaggia,1,RESCILIADO,DEPARTAMENTO
32,96,154480,16992.8,Quito,Maria Fernanda,9c22d16a-4491-4150-b253-b0a13e62ce9e,Equipo 2,Playa Arenas,5,Isola,1,PAGO,DEPARTAMENTO
33,70,97106,11652.72,Santo Domingo,Maria Jose,e34c3738-9405-454f-b542-bd9d8ba3c20f,Equipo 1,Ciudad Celeste,1,Notte,3,PAGO,VILLA
34,160,136286,9540.02,Naranjito,Miguel Angel,f2124726-16f4-4ccb-8d75-6cae37d9ac0f,Equipo 2,Playa Arenas,1,Spiaggia,2,RESCILIADO,VILLA
35,101,170838,11958.66,Guayaquil,Carlos,aaeacb49-ca01-48e4-a1b5-aa33ae56fa6e,Equipo 1,Playa Arenas,5,Spiaggia,2,PAGO,VILLA
36,51,141966,8517.96,Santo Domingo,Carlos,d8070570-57df-4190-981f-d9465b49d194,Equipo 2,Ciudad Celeste,4,Marinella,3,RESCILIADO,DEPARTAMENTO
37,150,17401,1914.11,Quito,Maria Carmen,6fd4a903-82c0-4136-84f9-a121c62cbac4,Equipo 2,Ciudad Celeste,4,Notte,2,PAGO,DEPARTAMENTO
38,167,116086,13930.32,Cuenca,Juan Carlos,3acbf7ca-8b49-4899-88b4-e322476ae397,Equipo 3,Playa Arenas,0,Notte,1,PAGO,VILLA
39,173,185029,20353.19,Naranjito,Maria Jose,6894c1f2-5d8d-4401-a1b0-8cf11f5004af,Equipo 2,Playa Arenas,2,Isola,1,PAGO,DEPARTAMENTO
40,200,29303,2637.27,Naranjito,Juan Carlos,5330e318-c078-4723-b3a7-719e7f794374,Equipo 1,Playa Arenas,1,Spiaggia,1,PAGO,DEPARTAMENTO
41,165,110068,9906.12,Cuenca,Maria Fernanda,6a219a54-3631-4e8c-90f7-a667c2473c63,Equipo 2,Parque Azul,1,Marinella,2,PAGO,VILLA
42,168,195064,13654.48,Naranjito,Maria Jose,22b2c3ea-f811-4c6b-acc4-b67b5990392d,Equipo 2,Playa Arenas,5,Spiaggia,2,RESCILIADO,VILLA
43,112,59463,8324.82,Machala,Maria Jose,cf464f28-9b2a-4674-93f3-580eb35c6bf4,Equipo 3,Ciudad Celeste,5,Isola,3,PAGO,VILLA
44,191,152682,18321.84,Santo Domingo,Maria Carmen,1b1dbd1b-5243-44bd-9f7d-7d34aabfe7ca,Equipo 1,Parque Azul,3,Ventto,2,RESCILIADO,VILLA
45,129,71914,3595.7,Machala,Maria Jose,fb572eeb-2a6e-42de-bb0f-d97fc6bce36d,Equipo 1,Ciudad Celeste,2,Marinella,1,PAGO,VILLA
46,151,17415,1567.35,Guayaquil,Maria Carmen,9ca089e6-febe-4771-8d69-63b42548a3a8,Equipo 3,Parque Azul,4,Notte,3,PAGO,DEPARTAMENTO
47,65,99772,7981.76,Cuenca,Maria Fernanda,19cd813a-d7fa-4456-8a30-c5d2316fed82,Equipo 3,Parque Azul,0,Marinella,2,PAGO,DEPARTAMENTO
48,145,87157,10458.84,Quito,Maria Jose,c426d35a-fb12-4ec8-aa1c-2518d194f25c,Equipo 1,Ciudad Celeste,3,Isola,1,PAGO,DEPARTAMENTO
49,187,137741,9641.87,Santo Domingo,Maria Carmen,30c7b554-07d0-45b2-b68b-3c28df91f37b,Equipo 3,Parque Azul,3,Isola,2,PAGO,DEPARTAMENTO
50,73,24487,1469.22,Naranjito,Juan Carlos,7cb8ba8d-89cb-46b1-a584-c921bd7cca00,Equipo 3,Playa Arenas,3,Ventto,3,RESCILIADO,DEPARTAMENTO
